pm25,pm10,so2,no2,co,纬度,经度, 
13,21.52,2.14,3.51,0.4,18.34,109.25, 
13.45,23.23,2.38,4.47,0.46,18.34,109.38, 
13.82,24.48,2.47,4.44,0.48,18.33,109.52, 
13.99,25.75,1.87,3.13,0.44,18.33,109.66, 
13.29,19,1.52,2.47,0.27,18.49,108.83, 
13,19.19,1.68,2.79,0.3,18.49,108.97, 
12.86,19.71,1.88,3.26,0.34,18.48,109.11, 
12.89,20.56,2.08,3.76,0.38,18.48,109.25, 
13.12,21.4,2.23,4.01,0.41,18.47,109.39, 
14.03,23.12,2.44,4.38,0.43,18.46,109.53, 
14.33,24.28,2.04,3.84,0.43,18.46,109.67, 
13.64,23.84,1.35,2.14,0.37,18.45,109.81, 
13.23,24.29,1.22,1.44,0.3,18.45,109.95, 
13.48,18.69,1.34,2.41,0.27,18.62,108.84, 
13.31,18.99,1.3,2.58,0.3,18.62,108.98, 
12.89,19.02,1.34,2.58,0.31,18.61,109.12, 
12.59,19.07,1.34,2.49,0.32,18.61,109.26, 
12.6,19.21,1.36,2.36,0.32,18.6,109.4, 
13.9,21.73,1.43,2.95,0.35,18.6,109.54, 
14.09,22.89,1.49,3.21,0.37,18.59,109.67, 
14.04,23.62,1.49,2.72,0.35,18.59,109.81, 
13.66,23.69,1.49,2.02,0.31,18.58,109.95, 
13.27,24.44,1.35,1.47,0.27,18.57,110.09, 
15.77,21.2,1.92,2.46,0.25,18.76,108.7, 
13.58,18.55,1.31,2.2,0.24,18.75,108.84, 
13.34,18.65,1.27,2.18,0.24,18.75,108.98, 
13.02,18.74,1.32,2.15,0.25,18.75,109.12, 
13.06,19.34,1.34,2.18,0.26,18.74,109.26, 
12.99,19.61,1.4,2.17,0.27,18.73,109.4, 
13.5,20.56,1.48,2.34,0.28,18.73,109.54, 
14.2,21.76,1.53,2.33,0.28,18.72,109.68, 
15.22,24.03,1.58,2.38,0.29,18.72,109.82, 
14.86,24.9,1.64,2.16,0.28,18.71,109.96, 
13.73,24.32,1.61,1.75,0.26,18.7,110.1, 
12.87,23.92,1.29,1.17,0.24,18.7,110.24, 
12.25,23.79,0.97,0.67,0.22,18.69,110.38, 
17.19,23.27,2.55,2.91,0.26,18.89,108.71, 
14.21,19.57,1.57,2.2,0.25,18.89,108.85, 
12.98,18.27,1.26,1.97,0.24,18.88,108.99, 
13.56,19.41,1.28,2.02,0.25,18.88,109.13, 
13.93,20.33,1.36,2.09,0.25,18.87,109.27, 
13.64,20.54,1.43,2.1,0.26,18.87,109.41, 
14.15,21.34,1.5,2.02,0.26,18.86,109.55, 
15.99,24.14,1.6,2.39,0.28,18.86,109.69, 
15.84,25.25,1.64,2.35,0.28,18.85,109.83, 
15.35,25.51,1.79,2.3,0.28,18.84,109.97, 
14.74,25.55,1.93,2.27,0.28,18.84,110.11, 
14.15,25.63,2.01,2.32,0.27,18.83,110.25, 
12.83,24.15,1.47,1.4,0.24,18.82,110.39, 
18.44,25.18,4.1,4.42,0.27,19.02,108.71, 
15.7,21.94,2.32,2.96,0.26,19.02,108.85, 
13.82,19.65,1.58,2.21,0.25,19.01,108.99, 
13.77,19.89,1.38,1.8,0.25,19.01,109.13, 
15.4,22.46,1.41,1.95,0.26,19,109.27, 
15.02,22.7,1.49,1.94,0.27,19,109.41, 
15.58,24.02,1.57,2.21,0.28,18.99,109.55, 
15.91,25,1.68,2.37,0.28,18.99,109.69, 
15.69,25.35,1.8,2.37,0.29,18.98,109.83, 
15.6,26.14,1.86,2.56,0.29,18.98,109.97, 
15.14,26.38,2.03,2.71,0.29,18.97,110.11, 
14.54,26.61,2.26,3,0.29,18.96,110.25, 
13.07,24.77,1.62,1.8,0.26,18.96,110.39, 
17.65,24.15,3.82,4.19,0.26,19.16,108.72, 
15.76,22.08,2.48,3.1,0.26,19.15,108.86, 
13.85,19.85,1.66,2.11,0.25,19.15,109, 
13.74,20.12,1.44,1.68,0.25,19.14,109.14, 
14.33,21.12,1.5,1.58,0.26,19.14,109.28, 
14.35,22.05,1.57,1.7,0.27,19.13,109.42, 
14.96,23.62,1.65,2.04,0.28,19.13,109.56, 
16.09,25.93,1.73,2.68,0.3,19.12,109.7, 
15.71,26.03,1.79,2.79,0.3,19.11,109.84, 
15.32,26,1.79,2.8,0.3,19.11,109.98, 
14.86,26.05,1.86,2.98,0.3,19.1,110.12, 
14.01,25.81,2.03,3.21,0.3,19.1,110.26, 
12.95,24.45,1.46,1.97,0.27,19.09,110.4, 
12.4,23.35,1,0.84,0.24,19.08,110.54, 
17.16,23.58,3.36,3.67,0.26,19.29,108.72, 
15.77,22.14,2.61,3.14,0.26,19.28,108.86, 
14.14,20.48,1.91,2.25,0.25,19.28,109, 
13.92,20.66,1.67,1.85,0.26,19.27,109.14, 
14.21,21.58,1.65,1.76,0.26,19.27,109.28, 
14.67,23.14,1.74,2.01,0.28,19.26,109.43, 
15.15,24.52,1.82,2.27,0.29,19.26,109.57, 
15.36,25.61,1.93,2.76,0.31,19.25,109.71, 
14.97,25.84,1.96,3,0.31,19.25,109.85, 
14.52,25.77,1.91,3.01,0.31,19.24,109.99, 
14.27,26.03,1.92,3.15,0.31,19.23,110.13, 
13.73,26,1.97,3.18,0.3,19.23,110.27, 
12.86,24.9,1.47,2.02,0.28,19.22,110.41, 
12.63,24.39,1.03,0.97,0.25,19.21,110.55, 
16.39,23.17,2.94,3.42,0.26,19.42,108.87, 
15.25,22.46,2.43,3.02,0.27,19.41,109.01, 
14.88,22.79,2.07,2.74,0.28,19.41,109.15, 
14.83,23.4,1.85,2.47,0.28,19.4,109.29, 
15.2,24.74,1.86,2.6,0.3,19.4,109.43, 
15.47,26.04,1.85,2.83,0.31,19.39,109.57, 
14.98,26.06,1.94,3.04,0.32,19.38,109.71, 
14.9,26.8,1.94,3.36,0.33,19.38,109.85, 
14.64,27.05,2,3.69,0.33,19.37,109.99, 
14.54,27.63,1.91,4,0.34,19.37,110.13, 
13.68,26.32,1.72,3.32,0.32,19.36,110.27, 
13.15,25.62,1.45,2.38,0.3,19.35,110.41, 
12.9,24.98,1.16,1.33,0.27,19.35,110.55, 
16.67,24.21,2.39,3.01,0.27,19.54,109.01, 
16.25,24.99,2.39,3.3,0.29,19.54,109.16, 
15.72,25.39,2.46,3.45,0.3,19.53,109.3, 
15.8,26.75,2.62,3.81,0.32,19.53,109.44, 
16.05,28.21,2.82,4.42,0.34,19.52,109.58, 
15.43,27.79,2.76,4.38,0.35,19.52,109.72, 
15.19,28.22,2.83,4.77,0.35,19.51,109.86, 
14.92,28.4,2.99,5.17,0.36,19.51,110, 
14.55,28.11,2.63,4.93,0.36,19.5,110.14, 
14.08,27.4,1.92,4.24,0.35,19.49,110.28, 
13.36,25.7,1.72,2.91,0.32,19.49,110.42, 
13.22,25.28,1.53,2.1,0.29,19.48,110.56, 
13.03,24.82,1.44,1.27,0.26,19.47,110.7, 
16.58,27.25,2.88,4.32,0.31,19.67,109.3, 
16.13,28.38,3.08,4.8,0.34,19.66,109.44, 
16.19,29.38,3.29,5.3,0.35,19.66,109.58, 
15.83,29.43,3.12,5.37,0.36,19.65,109.72, 
15.65,29.88,3.32,5.98,0.38,19.64,109.87, 
15.45,30.2,3.64,6.63,0.4,19.64,110.01, 
15.1,29.85,3.17,6.32,0.4,19.63,110.15, 
14.56,28.74,2.2,5.24,0.39,19.62,110.29, 
14.15,27.71,2.08,4.34,0.37,19.62,110.43, 
13.64,26.44,1.99,3.18,0.33,19.61,110.57, 
13.39,25.78,2.12,2.37,0.3,19.6,110.71, 
13.42,26.06,1.78,1.55,0.26,19.6,110.85, 
16.83,26.03,3.07,4.09,0.29,19.8,109.31, 
16.01,27.09,3.23,4.71,0.32,19.79,109.45, 
15.64,27.66,3.37,5.08,0.33,19.79,109.59, 
15.75,29.53,3.29,5.85,0.36,19.78,109.73, 
15.47,29.85,3.47,6.54,0.38,19.78,109.87, 
15.21,29.95,3.68,7.03,0.4,19.77,110.01, 
14.85,29.5,3.14,6.36,0.4,19.76,110.15, 
14.54,28.76,2.26,5.24,0.4,19.76,110.29, 
14.27,27.93,2.03,4.31,0.37,19.75,110.44, 
13.93,26.88,1.86,3.16,0.34,19.74,110.58, 
13.74,26.33,1.98,2.3,0.31,19.74,110.72, 
13.84,26.84,1.7,1.59,0.28,19.73,110.86, 
13.68,26.69,1.14,0.69,0.24,19.72,111, 
16.41,27.74,3.78,5.73,0.31,19.92,109.6, 
15.75,28.2,3.88,6.37,0.33,19.92,109.74, 
15.06,27.67,4.14,6.99,0.34,19.91,109.88, 
14.92,28.36,4.27,7.97,0.36,19.9,110.02, 
